item_id	citation	title	authority_tier	validity	validity_note	version_id	lang	source_url	retrieved	media_type	bytes	sha256
CCR-11-7015@2023	11 CCR § 7015 (2023 text)	Alternative Opt-out Link.	delegated	amended	Superseded 2026-01-01 by the CCPA Updates, Cyber, Risk, ADMT and Insurance Regulations (OAL 2025-0808-04). Retained as the text in force from 2023-03-29 to 2025-12-31.	CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	1847	d9f7d3aea2fd3f500234933099ed68d6469a693fb0128499792982d06c83792f
CCR-11-7016	11 CCR § 7016	Notice of Financial Incentive.	delegated	in-force		CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	3297	abc0681386ccfae4d5807146846f0c43ceefc08baea862d072ffd286de407a63
CCR-11-7020	11 CCR § 7020	Methods for Submitting Requests to Delete, Requests to Correct, and Requests to Know.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	3206	18f3da428ea9a6c55e0042c022870a22e8dca8cf47ea44c3fa13f0b83ddb67ce
CCR-11-7020@2023	11 CCR § 7020 (2023 text)	Methods for Submitting Requests to Delete, Requests to Correct, and Requests to Know and Requests to Delete.	delegated	amended	Superseded 2026-01-01 by the CCPA Updates, Cyber, Risk, ADMT and Insurance Regulations (OAL 2025-0808-04). Retained as the text in force from 2023-03-29 to 2025-12-31.	CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	2947	1633988674d5db7e867975e42f3d7e0d1ecf291da8a253f030b0857548066645
CCR-11-7021	11 CCR § 7021	Timelines for Responding to Requests to Delete, Requests to Correct, and Requests to Know, Requests to Access ADMT, and Requests to Appeal ADMT.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	1826	9c53abad9cef037569e95769fbfb806b58463baf839d93c95d08824bb8e2987a
CCR-11-7021@2023	11 CCR § 7021 (2023 text)	Timelines for Responding to Requests to Delete, Requests to Correct, and Requests to Know and Requests to Delete.	delegated	amended	Superseded 2026-01-01 by the CCPA Updates, Cyber, Risk, ADMT and Insurance Regulations (OAL 2025-0808-04). Retained as the text in force from 2023-03-29 to 2025-12-31.	CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	1777	9013c4877f4259788f684460127f945626a5f0f8a4da155f0f1b596255e60561
CCR-11-7022	11 CCR § 7022	Requests to Delete.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	6238	7828ac76bbdd247701c62a51fe6bfab6f4485f4ea711e808cf640118fcc00004
CCR-11-7022@2023	11 CCR § 7022 (2023 text)	Requests to Delete.	delegated	amended	Superseded 2026-01-01 by the CCPA Updates, Cyber, Risk, ADMT and Insurance Regulations (OAL 2025-0808-04). Retained as the text in force from 2023-03-29 to 2025-12-31.	CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	6549	20d2558d8394394116e7b12df3b51fb51dd99b488202193cd5cb8c33e92b3c7d
CCR-11-7023	11 CCR § 7023	Requests to Correct.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	11570	72e425829742ea2d5ac1dc08d59d26cf4842338972300754ff80b6af2d1c93f0
CCR-11-7023@2023	11 CCR § 7023 (2023 text)	Requests to Correct.	delegated	amended	Superseded 2026-01-01 by the CCPA Updates, Cyber, Risk, ADMT and Insurance Regulations (OAL 2025-0808-04). Retained as the text in force from 2023-03-29 to 2025-12-31.	CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	9629	995295673740a171385745ebdc0fb3f03ac4430231a0a45e686351f4cdf35afe
